Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2023-03-24,INDF.JK,EXIT,1,D1,13,90D,0.1871995430935549
2023-03-28,INDF.JK,EXIT,1,D1,13,90D,0.20225825447861911
2023-09-14,INDF.JK,EXIT,1,D1,7,90D,-0.044776109988069246
2023-10-12,INDF.JK,EXIT,1,D1,7,90D,-0.052044664567576615
2023-11-02,INDF.JK,EXIT,1,D1,14,90D,-0.01158298890165499
2023-12-08,INDF.JK,EXIT,1,D1+D2,15,90D,0.007812484522623286
2023-12-13,INDF.JK,EXIT,1,D2,15,90D,0.007812484522623286
2024-01-03,INDF.JK,EXIT,1,D2,15,90D,-0.054687556750381505
2024-01-05,INDF.JK,EXIT,1,D1,15,90D,-0.05426362303527699
2024-01-17,INDF.JK,EXIT,1,D2,15,90D,-0.027343778375190753
2024-01-23,INDF.JK,EXIT,1,D2,15,90D,-0.031250020636502396
2024-01-25,INDF.JK,EXIT,1,D2,15,90D,-0.03515626289781404
2024-01-30,INDF.JK,EXIT,1,D2,15,90D,-0.03906250515912557
2024-02-20,INDF.JK,HEALTHY,0,,8,90D,-0.05343509172321437
2024-03-07,INDF.JK,EXIT,1,D1+D2,6,90D,-0.07086608932536465
2024-03-18,INDF.JK,HEALTHY,0,,6,90D,-0.05426362303527699
2024-03-22,INDF.JK,EXIT,1,D1,6,90D,-0.032254494367517594
2024-03-26,INDF.JK,EXIT,1,D1+D2,6,90D,-0.028762341477466147
2024-04-02,INDF.JK,HEALTHY,0,,10,90D,-0.042080977620164606
2024-04-16,INDF.JK,EXIT,1,D1+D2,10,90D,0.036506521859579255
2024-08-01,INDF.JK,HEALTHY,0,,6,90D,0.21544711437289554
2024-08-02,INDF.JK,EXIT,1,D2,6,90D,0.24590169776506565
2024-08-06,INDF.JK,HEALTHY,0,,6,90D,0.22131146997534268
2024-12-09,INDF.JK,HEALTHY,0,,5,90D,-0.11280492917455809
2024-12-23,INDF.JK,HEALTHY,0,,5,90D,-0.13592235424094257
2025-01-20,INDF.JK,EXIT,1,D1,5,90D,0.0305085194231276
2025-01-31,INDF.JK,HEALTHY,0,,5,90D,0.031847129245826666
2025-02-10,INDF.JK,HEALTHY,0,,5,90D,0.009646294306030256
2025-02-12,INDF.JK,HEALTHY,0,,5,90D,0.00961537713692695
2025-02-24,INDF.JK,HEALTHY,0,,5,90D,0.041139229368328145
2025-03-07,INDF.JK,EXIT,1,D1,5,90D,0.11034478430541261
2025-04-09,INDF.JK,EXIT,1,D1+D2,5,90D,0.27577279084007733
2025-04-24,INDF.JK,EXIT,1,D1,5,90D,0.210292591274176
2025-04-29,INDF.JK,HEALTHY,0,,5,90D,0.13198654687482314
2025-05-09,INDF.JK,HEALTHY,0,,5,90D,0.045090444468983915
2025-05-27,INDF.JK,HEALTHY,0,,5,90D,-0.027096310159785864
2025-06-02,INDF.JK,HEALTHY,0,,5,90D,0.038726032452020664
2025-06-05,INDF.JK,HEALTHY,0,,5,90D,-0.06627622562410773
2025-06-17,INDF.JK,HEALTHY,0,,5,90D,-0.018308080808080773
2025-06-20,INDF.JK,HEALTHY,0,,5,90D,0.009630514092769715
2025-07-23,INDF.JK,HEALTHY,0,,5,90D,-0.14071856287425155
2025-08-27,INDF.JK,EXIT,1,D1,8,90D,-0.046052631578947345
2025-09-30,INDF.JK,EXIT,1,D2,8,90D,-0.06228373702422141
2022-01-03,INTP.JK,EXIT,1,D2,99,90D,-0.07264958116448483
2022-11-08,INTP.JK,EXIT,1,D2,99,90D,0.07073164461418702
2022-11-11,INTP.JK,EXIT,1,D2,99,90D,0.07073164461418702
2023-01-05,INTP.JK,EXIT,1,D2,99,90D,0.02857142544256619
2023-01-24,INTP.JK,EXIT,1,D1,99,90D,0.023017981686198175
2023-03-15,INTP.JK,EXIT,1,D1,99,90D,-0.040827165940153454
2023-04-05,INTP.JK,EXIT,1,D1+D2,99,90D,0.08148502283219838
2023-04-13,INTP.JK,EXIT,1,D1,99,90D,0.036102990846528016
2023-05-03,INTP.JK,EXIT,1,D2,99,90D,0.11525530954599938
2023-05-23,INTP.JK,EXIT,1,D2,99,90D,0.13333131860212588
2023-05-31,INTP.JK,EXIT,1,D2,99,90D,0.08838385637519885
2023-07-03,INTP.JK,EXIT,1,D1+D2,99,90D,0.04392760979490218
2023-09-18,INTP.JK,EXIT,1,D1,99,90D,-0.09268292090562369
2023-09-20,INTP.JK,EXIT,1,D1,99,90D,-0.09135803253282182
2023-10-04,INTP.JK,EXIT,1,D1,99,90D,-0.06982541215490967
2023-10-18,INTP.JK,EXIT,1,D2,99,90D,-0.07575763608154873
2023-12-01,INTP.JK,EXIT,1,D2,99,90D,-0.08376967729427465
2025-08-12,INTP.JK,EXIT,1,D2,99,90D,0.04280155642023353
2025-08-19,INTP.JK,EXIT,1,D2,99,90D,0.055118110236220375
2025-10-09,INTP.JK,EXIT,1,D2,99,90D,0.09126984126984117
2026-01-07,INTP.JK,EXIT,1,D1,99,90D,-0.16981132075471694
2026-01-29,INTP.JK,EXIT,1,D1,99,90D,-0.19615384615384612
2022-01-03,ITMG.JK,EXIT,1,D1+D2,99,90D,0.49385377338347203
2022-01-31,ITMG.JK,EXIT,1,D2,99,90D,0.5232329603494954
2022-03-01,ITMG.JK,HEALTHY,0,,6,90D,0.3261138156419827
2022-04-06,ITMG.JK,HEALTHY,0,,8,90D,0.19547513590509458
2022-04-27,ITMG.JK,HEALTHY,0,,8,90D,0.46678962754870135
