date,ticker,weight,rank,return_12m
2025-05,PGAS.JK,20.0,4,0.2704
2025-05,ASII.JK,20.0,5,0.2308
2025-06,ANTM.JK,20.0,1,1.5531
2025-06,BRPT.JK,20.0,2,0.6768
2025-06,INDF.JK,20.0,3,0.3976
2025-06,PGEO.JK,20.0,4,0.2348
2025-06,ADRO.JK,20.0,5,0.1796
2025-07,BRPT.JK,20.0,1,1.4128
2025-07,ANTM.JK,20.0,2,1.2752
2025-07,INDF.JK,20.0,3,0.441
2025-07,GOTO.JK,20.0,4,0.2264
2025-07,EXCL.JK,20.0,5,0.2084
2025-08,ANTM.JK,20.0,1,1.2959
2025-08,BRPT.JK,20.0,2,0.9127
2025-08,EXCL.JK,20.0,3,0.2832
2025-08,PGAS.JK,20.0,4,0.2291
2025-08,ASII.JK,20.0,5,0.1741
2025-09,BRPT.JK,20.0,1,2.5714
2025-09,ANTM.JK,20.0,2,1.2414
2025-09,PGAS.JK,20.0,3,0.3036
2025-09,ASII.JK,20.0,4,0.245
2025-09,EXCL.JK,20.0,5,0.2087
2025-10,BRPT.JK,20.0,1,2.4673
2025-10,ANTM.JK,20.0,2,1.034
2025-10,ASII.JK,20.0,3,0.3096
2025-10,INCO.JK,20.0,4,0.2622
2025-10,PGAS.JK,20.0,5,0.2307
2025-11,BRPT.JK,20.0,1,3.1871
2025-11,ANTM.JK,20.0,2,1.1363
2025-11,TLKM.JK,20.0,3,0.3972
2025-11,ASII.JK,20.0,4,0.3948
2025-11,EXCL.JK,20.0,5,0.3546
2025-12,BRPT.JK,20.0,1,2.5543
2025-12,ANTM.JK,20.0,2,1.1684
2025-12,EXCL.JK,20.0,3,0.8363
2025-12,ASII.JK,20.0,4,0.485
2025-12,INCO.JK,20.0,5,0.4511
2026-01,ANTM.JK,20.0,1,2.1796
2026-01,BRPT.JK,20.0,2,1.3478
2026-01,INCO.JK,20.0,3,1.1824
2026-01,MDKA.JK,20.0,4,1.0511
2026-01,MBMA.JK,20.0,5,0.8325
2026-02,ANTM.JK,20.0,1,1.8811
2026-02,INCO.JK,20.0,2,1.7557
2026-02,MDKA.JK,20.0,3,1.6786
2026-02,MBMA.JK,20.0,4,1.6067
2026-02,BRPT.JK,20.0,5,1.535
2026-03,MBMA.JK,20.0,1,1.4333
2026-03,INCO.JK,20.0,2,1.3923
2026-03,ANTM.JK,20.0,3,1.2473
2026-03,MDKA.JK,20.0,4,1.1958
2026-03,BRPT.JK,20.0,5,0.9225
2026-04,INCO.JK,20.0,1,1.7924
2026-04,BRPT.JK,20.0,2,1.4631
2026-04,MBMA.JK,20.0,3,1.1774
2026-04,MDKA.JK,20.0,4,0.9341
2026-04,AADI.JK,20.0,5,0.8379
2026-05,JPFA.JK,20.0,1,0.6152
2026-05,BRPT.JK,20.0,2,0.5397
2026-05,INCO.JK,20.0,3,0.3476
2026-05,MBMA.JK,20.0,4,0.3278
2026-05,ADRO.JK,20.0,5,0.2868
